idPan;panNome;panNomeCompleto;idPan2;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panStatusLegal;panPortaria;panProcesso;panLogo;panSite
RAN_11.02;Herpetofauna do Sudeste - 2º ciclo;Plano de Ação Nacional para Conservação da Herpetofauna Ameaçada do Sudeste;RAN_11.02;Herpetofauna do Sudeste;Multiclasse;Bioma;2º ciclo;Em execução;RAN;01/10/2024;2024;01/10/2024;01/10/2024;01/10/2029;2029;Portaria vigente;Portaria 2897 (18 de setembro de 2024);02071.000042/2022-56;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-sudeste
TAMAR_03.03;Tartarugas Marinhas - 3º ciclo;Plano de Ação Nacional para a Conservação das Tartarugas Marinhas;TAMAR_03.03;Tartarugas Marinhas;Intraclasse;Bioma;3º ciclo;Em execução;TAMAR;03/06/2024;2024;22/05/2024;03/06/2024;03/06/2029;2029;Portaria vigente;Portaria 1544 (22/05/2024);02044.000084/2023-03;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tartarugas-marinhas
CEMAVE_32.03;Aves dos Campos Sulinos - 3º ciclo;Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos;CEMAVE_32.03;Aves dos Campos Sulinos;Intraclasse;Ecossistema;3º ciclo;Em execução;CEMAVE;01/01/2025;2025;01/01/2025;01/01/2025;01/01/2030;2030;Portaria vigente;Portaria 3.888 (12/12/2024);02061.000107/2023-63;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_22-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-dos-campos-sulinos
CEMAVE_36.04;Albatrozes e Petréis - 4º ciclo;Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis;CEMAVE_36.04;Albatrozes e Petréis;Intraclasse;Bioma;4º ciclo;Em execução;CEMAVE;01/01/2025;2025;01/01/2025;01/01/2025;01/01/2030;2030;Portaria vigente;Portaria 3.903 (12/12/2024);02061.000007/2024-18;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_26-03.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-albatrozes-e-petreis
CENAP_16.02;Grandes Felinos - 2º ciclo;Plano de Ação Nacional para a Conservação dos Grandes Felinos;CENAP_16.02;Grandes Felinos;Multiclasse;Nacional;2º ciclo;Em execução;CENAP;01/08/2025;2025;01/08/2025;01/08/2025;01/08/2030;2030;Portaria vigente;Portaria 2.623 (09/07/2025);02068.000016/2024-49;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-grandes-felinos
CENAP_17.02;Canídeos - 2º ciclo;Plano de Ação Nacional para a Conservação dos Canídeos Silvestres;CENAP_17.02;Canídeos;Intraclasse;Nacional;2º ciclo;Em execução;CENAP;02/05/2025;2025;24/04/2025;02/05/2025;02/05/2030;2030;Portaria vigente;Portaria 1.557 (24/04/2025);02068.000015/2024-02;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-canideos
CEPSUL_04.02;Tubarões - 2º ciclo;Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção;CEPSUL_04.02;Tubarões;Intraclasse;Bioma;2º ciclo;Em execução;CEPSUL;Previsto;2025;24/04/2025;02/05/2025;02/05/2030;2030;Portaria vigente;Portaria 1.558 (28/04/2025);02032.000037/2022-18;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tubaroes
CEPTA_11.02;Iguaçu - 2º ciclo ;Plano de Ação Nacional para a Conservação dos Peixes da Bacia do Rio Iguaçu;CEPTA_11.02;Iguaçu;Multiclasse;Bacia;2º ciclo;Em execução;CEPTA;24/04/2025;2025;02/05/2025;02/05/2025;02/05/2030;2030;Portaria vigente;Portaria 1.560 (24/04/2025);02031.000125/2023-01;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cepta_09-02.png/view;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-iguacu
CPB_12.02;Primatas Amazônicos  - 2º ciclo;Plano de Ação Nacional para a Conservação dos Primatas Amazônicos;CPB_12.02;Primatas Amazônicos;Intraclasse;Bioma;2º ciclo;Em execução;CPB;24/04/2025;2025;28/04/2025;02/05/2025;02/05/2030;2030;Portaria vigente;Portaria 1.565 (24/04/2025);02062.000026/2024-34;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_07-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-amazonicos
CPB_13.03;Primatas do Nordeste - 3º ciclo;Plano de Ação Nacional para a Conservação dos Primatas do Nordeste;CPB_13.03;Primatas do Nordeste;Intraclasse;Bioma;3º ciclo;Em execução;CPB;24/04/2025;2025;28/04/2025;02/05/2025;02/05/2030;2030;Portaria vigente;Portaria 1.556 (24/04/2025);02070.002934/2011-49;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_08-02.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-do-nordeste
CPB_15.02;Primatas da Mata Atlântica e da Preguiça-de-Coleira - 2° ciclo;Plano de Ação Nacional para a Conservação dos Primatas da Mata Atlântica e da Preguiça-de-Coleira;CPB_15.02;Primatas da Mata Atlântica e preguiça-de-coleira;Intraclasse;Bioma;2º ciclo;Em execução;CPB;23/06/2025;2025;01/07/2025;01/07/2025;01/07/2030;2030;Portaria vigente;Portaria 2.327 (23/06/2025);02062.000014/2018-61;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_10-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-ma-e-preguica-de-coleira
RAN_12.02;CERPAM- 2º ciclo;Plano de Ação Nacional para a Conservação de Espécies da Ictiofauna, Herpetofauna e Primatas do Cerrado, Pantanal e Amazônia ;RAN_12.02;CERPAM;Multiclasse;Bioma;2º ciclo;Em execução;RAN;08/07/2025;2025;01/08/2025;01/08/2025;01/08/2030;2030;Portaria vigente;Portaria 2.622 (08/07/2025);02071.000012/2024-10;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/ran_07-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cerpan
CEPSUL_05.02;Corais - 2º ciclo;Plano de Ação Nacional para a Conservação dos Ambientes Coralíneos;CEPSUL_05.02;Corais;Multiclasse;Ecossistema;2º ciclo;Em execução;CEPSUL;03/11/2025;2025;17/10/2025;03/11/2025;03/11/2030;2030;Portaria vigente;Portaria 4.444 (17/10/2025);02044.000171/2024-33;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-corais
CEPSUL_06.02;(Previsto) Lagoas do Sul - 2º ciclo;Plano de Ação Nacional para a Conservação dos Sistemas Lacustres e Lagunares do Sul do Brasil;CEPSUL_06.02;Lagoas do Sul;Multiclasse;Ecossistema;2º ciclo;Previsto;CEPSUL;Previsto;Previsto;;;;;Aguardando portaria;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lagoas-do-sul
RAN_13.03;(Previsto) Herpetofauna do Nordeste - 3º ciclo;Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada do Nordeste;RAN_13.03;Herpetofauna do Nordeste;Multiclasse;Bioma;3 ciclo;Elaborado;RAN ;Previsto ;Previsto;;;;;Aguardando portaria;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-nordeste
CPB_14.03;Sauim-de-coleira - 3º ciclo;Plano de Ação Nacional para a Conservação do Sauim-de-coleira;CPB_14.03;Sauim-de-coleira;Monoespecífico;Específico (distribuição da espécie);3º ciclo;Em execução;CPB;03/11/2025;2025;20/10/2025;03/11/2025;03/11/2030;2030;Portaria vigente;Portaria 4.508 (20/10/2025);02062.000027/2025-60;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_09-02.png/view;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sauim-de-coleira
CEMAVE_35.03;Pato-mergulhão 3º ciclo;Plano de Ação Nacional para a Conservação do Pato-mergulhão;CEMAVE_35.03;Pato-mergulhão;Monoespecífico;Específico (distribuição da espécie);3º ciclo;Finalizado;CEMAVE;;;;;;;;;02061.000097/2023-66;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_23-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pato-mergulhao
